============================================================================================================================================================================================================================================================================================================
1. IPC PERFORMANCE (Base -> Exp)
============================================================================================================================================================================================================================================================================================================
Trace Name                                    |     Base |      Exp |  Speedup |     Diff%
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Graph_GAP_bc-0                                |    0.210 |    0.210 |    1.000 | +0.0%
Graph_GAP_bc-12                               |    0.190 |    0.190 |    1.000 | +0.0%
Graph_GAP_bfs-10                              |    0.730 |    0.710 |    0.973 | -2.7%
Graph_GAP_bfs-14                              |    0.780 |    0.790 |    1.013 | +1.3%
Graph_GAP_cc-13                               |    0.380 |    0.380 |    1.000 | +0.0%
Graph_GAP_cc-14                               |    0.430 |    0.430 |    1.000 | +0.0%
Graph_GAP_cc-5                                |    0.500 |    0.500 |    1.000 | +0.0%
Graph_GAP_sssp-10                             |    0.650 |    0.660 |    1.015 | +1.5%
Graph_GAP_sssp-14                             |    0.650 |    0.660 |    1.015 | +1.5%
Graph_GMS_gms.k_clique_count_set_based.soc-.. |    2.250 |    2.250 |    1.000 | +0.0%
Graph_GMS_gms.k_clique_list_danisch_edge_pa.. |    1.110 |    1.110 |    1.000 | +0.0%
Graph_GMS_gms.k_clique_list_danisch_edge_pa.. |    1.050 |    1.050 |    1.000 | +0.0%
Graph_GMS_gms.k_clique_list_danisch_node_pa.. |    1.030 |    1.030 |    1.000 | +0.0%
Graph_GMS_gms.k_clique_list_danisch_node_pa.. |    0.910 |    0.910 |    1.000 | +0.0%
Graph_GMS_gms.k_clique_list_danisch_serial... |    2.250 |    2.250 |    1.000 | +0.0%
Graph_GMS_gms.k_clique_star_list.soc-pokec-.. |    1.410 |    1.410 |    1.000 | +0.0%
Graph_GMS_gms.maximal_clique_enum_bron_kerb.. |    2.210 |    2.210 |    1.000 | +0.0%
Graph_GMS_gms.triangle_count.soc-pokec-rela.. |    0.770 |    0.770 |    1.000 | +0.0%
Graph_GMS_gms.triangle_count.soc-pokec-rela.. |    0.580 |    0.580 |    1.000 | +0.0%
Graph_GMS_gms.triangle_count.soc-pokec-rela.. |    0.570 |    0.570 |    1.000 | +0.0%
Graph_Ligra_ligra_BFSCC.com-lj.ungraph.gcc_.. |    1.450 |    1.450 |    1.000 | +0.0%
Graph_Ligra_ligra_BFSCC.com-lj.ungraph.gcc_.. |    1.970 |    1.960 |    0.995 | -0.5%
Graph_Ligra_ligra_BellmanFord.com-lj.ungrap.. |    1.400 |    1.400 |    1.000 | +0.0%
Graph_Ligra_ligra_CF.com-lj.ungraph.gcc_6.3.. |    1.850 |    1.850 |    1.000 | +0.0%
Graph_Ligra_ligra_CF.com-lj.ungraph.gcc_6.3.. |    1.030 |    1.030 |    1.000 | +0.0%
Graph_Ligra_ligra_Components-Shortcut.com-l.. |    1.960 |    1.960 |    1.000 | +0.0%
Graph_Ligra_ligra_Components-Shortcut.com-l.. |    0.420 |    0.430 |    1.024 | +2.4%
Graph_Ligra_ligra_Components.com-lj.ungraph.. |    1.540 |    1.540 |    1.000 | +0.0%
Graph_Ligra_ligra_MIS.com-lj.ungraph.gcc_6... |    1.540 |    1.540 |    1.000 | +0.0%
Graph_Ligra_ligra_MIS.com-lj.ungraph.gcc_6... |    2.020 |    2.020 |    1.000 | +0.0%
Graph_Ligra_ligra_PageRank.com-lj.ungraph.g.. |    1.180 |    1.170 |    0.992 | -0.8%
Graph_Ligra_ligra_PageRankDelta.com-lj.ungr.. |    1.950 |    1.950 |    1.000 | +0.0%
Graph_Ligra_ligra_PageRankDelta.com-lj.ungr.. |    1.060 |    1.060 |    1.000 | +0.0%
